,seq_id,source,type,start,end,score,strand,phase,attributes,Dbxref,ID,Name,Note,Parent,alignment_id,alternative_source_transcripts,anticodon,collapsed_gene_ids,collapsed_gene_names,copy_num_ID,coverage,db_xref,description,exception,exon_annotation_support,exon_number,experiment,extra_copy_number,extra_paralog,frameshift,gbkey,gene,gene_biotype,gene_id,gene_name,gene_synonym,inference,inframe_stop_codon,intron_annotation_support,matches_ref_protein,missing_start_codon,missing_stop_codon,model_evidence,note,paralogy,part,partial,product,proper_orf,protein_id,pseudo,sequence_ID,source_gene,source_gene_common_name,source_transcript,standard_name,tag,transcript_biotype,transcript_class,transcript_id,transcript_modes,transcript_name,transferase,transl_except,unfiltered_paralogy,valid_ORF,valid_ORFs,valid_start,valid_stop
856889,chr3,Liftoff,gene,52567715,52619364,.,+,.,ID=LOC124909379;gene_name=LOC124909379;db_xref=GeneID:124909379;gbkey=Gene;gene=LOC124909379;gene_biotype=lncRNA;coverage=1.0;sequence_ID=1.0;extra_copy_number=0;copy_num_ID=LOC124909379_0,,LOC124909379,,,,,,,,,LOC124909379_0,1.0,GeneID:124909379,,,,,,0,,,Gene,LOC124909379,lncRNA,,LOC124909379,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
856890,chr3,Liftoff,transcript,52567715,52619364,.,+,.,ID=XR_007095909.1;Parent=LOC124909379;db_xref=GeneID:124909379;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC124909379;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC124909379;transcript_biotype=lnc_RNA;extra_copy_number=0,,XR_007095909.1,,,LOC124909379,,,,,,,,GeneID:124909379,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,ncRNA,LOC124909379,,,,,,,,,,,Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns,,,,,uncharacterized LOC124909379,,,,,,,,,,lnc_RNA,,,,,,,,,,,
856891,chr3,Liftoff,exon,52567715,52567777,.,+,.,Parent=XR_007095909.1;db_xref=GeneID:124909379;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC124909379;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC124909379;transcript_biotype=lnc_RNA;exon_number=1;extra_copy_number=0,,,,,XR_007095909.1,,,,,,,,GeneID:124909379,,,,1,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC124909379,,,,,,,,,,,Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns,,,,,uncharacterized LOC124909379,,,,,,,,,,lnc_RNA,,,,,,,,,,,
856892,chr3,Liftoff,exon,52611926,52612163,.,+,.,Parent=XR_007095909.1;db_xref=GeneID:124909379;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC124909379;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC124909379;transcript_biotype=lnc_RNA;exon_number=2;extra_copy_number=0,,,,,XR_007095909.1,,,,,,,,GeneID:124909379,,,,2,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC124909379,,,,,,,,,,,Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns,,,,,uncharacterized LOC124909379,,,,,,,,,,lnc_RNA,,,,,,,,,,,
856893,chr3,Liftoff,exon,52618117,52619364,.,+,.,Parent=XR_007095909.1;db_xref=GeneID:124909379;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC124909379;model_evidence=Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns;product=uncharacterized LOC124909379;transcript_biotype=lnc_RNA;exon_number=3;extra_copy_number=0,,,,,XR_007095909.1,,,,,,,,GeneID:124909379,,,,3,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC124909379,,,,,,,,,,,Supporting evidence includes similarity to: 2 ESTs%2C 5 long SRA reads%2C and 76%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 1 sample with support for all annotated introns,,,,,uncharacterized LOC124909379,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1878787,chr9,Liftoff,gene,122723,129299,.,-,.,ID=LOC105375942;gene_name=LOC105375942;db_xref=GeneID:105375942;gbkey=Gene;gene=LOC105375942;gene_biotype=lncRNA;coverage=1.0;sequence_ID=0.964;extra_copy_number=0;copy_num_ID=LOC105375942_0,,LOC105375942,,,,,,,,,LOC105375942_0,1.0,GeneID:105375942,,,,,,0,,,Gene,LOC105375942,lncRNA,,LOC105375942,,,,,,,,,,,,,,,,,0.964,,,,,,,,,,,,,,,,,
1878788,chr9,Liftoff,transcript,122723,129299,.,-,.,ID=XR_929381.2;Parent=LOC105375942;db_xref=GeneID:105375942;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=ncRNA;gene=LOC105375942;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC105375942;transcript_biotype=lnc_RNA;extra_copy_number=0,,XR_929381.2,,,LOC105375942,,,,,,,,GeneID:105375942,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,ncRNA,LOC105375942,,,,,,,,,,,Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns,,,,,uncharacterized LOC105375942,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1878789,chr9,Liftoff,exon,122723,126485,.,-,.,Parent=XR_929381.2;db_xref=GeneID:105375942;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC105375942;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC105375942;transcript_biotype=lnc_RNA;exon_number=2;extra_copy_number=0,,,,,XR_929381.2,,,,,,,,GeneID:105375942,,,,2,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC105375942,,,,,,,,,,,Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns,,,,,uncharacterized LOC105375942,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1878790,chr9,Liftoff,exon,127089,129299,.,-,.,Parent=XR_929381.2;db_xref=GeneID:105375942;experiment=COORDINATES: polyA evidence [ECO:0006239];gene=LOC105375942;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns;product=uncharacterized LOC105375942;transcript_biotype=lnc_RNA;exon_number=1;extra_copy_number=0,,,,,XR_929381.2,,,,,,,,GeneID:105375942,,,,1,COORDINATES: polyA evidence [ECO:0006239],0,,,,LOC105375942,,,,,,,,,,,Supporting evidence includes similarity to: 1 EST%2C 16 long SRA reads%2C and 93%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 13 samples with support for all annotated introns,,,,,uncharacterized LOC105375942,,,,,,,,,,lnc_RNA,,,,,,,,,,,
1878791,chr9,Liftoff,transcript,129331,173385,.,-,.,ID=XR_001746353.2;Parent=CBWD1;db_xref=GeneID:55871;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=misc_RNA;gene=CBWD1;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns;product=COBW domain containing 1%2C transcript variant X5;transcript_biotype=transcript;extra_copy_number=0,,XR_001746353.2,,,CBWD1,,,,,,,,GeneID:55871,,,,,COORDINATES: polyA evidence [ECO:0006239],0,,,misc_RNA,CBWD1,,,,,,,,,,,Supporting evidence includes similarity to: 1 mRNA%2C 18 ESTs%2C 3 Proteins%2C 37 long SRA reads%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 75 samples with support for all annotated introns,,,,,COBW domain containing 1%2C transcript variant X5,,,,,,,,,,transcript,,,,,,,,,,,
