,gene,chromosome,start,end,strand,biotype
57,GLDCP1,chr4,60080458,60084280,+,pseudogene
61,COILP2,chr4,126327740,126330096,+,pseudogene
86,MIR2277,chr5,94104760,94104853,-,miRNA
88,NPM1P27,chr5,94166587,94167802,-,pseudogene
245,CBWD4P,chr9,80061394,80095397,-,pseudogene
264,RN7SKP151,chr11,13445971,13446287,+,pseudogene
284,SNORD150,chr11,119210936,119211011,-,snoRNA
314,ACTBP10,chr14,13712537,13714265,-,pseudogene
316,RNU6-1239P,chr14,13734166,13734273,-,pseudogene
321,RN7SL196P,chr15,28353894,28354185,+,pseudogene
330,RNU6-631P,chr15,18771804,18771911,-,pseudogene
342,PKD1P1,chr16,16315686,16359022,+,transcribed_pseudogene
344,MIR6862-2,chr16,29004922,29004992,+,miRNA
361,MIR3615,chr17,75640490,75640577,+,miRNA
368,RNU1-108P,chr17,59534393,59534554,-,pseudogene
369,RNU1-52P,chr17,59545429,59545593,-,pseudogene
370,RNVU1-34,chr17,59547391,59547555,-,pseudogene
415,DGCR5,chr22,19345861,19406582,+,lncRNA
419,RN7SKP63,chr22,21802736,21802974,+,pseudogene
