,gene,chromosome,start,end,strand,biotype,ID
0,KIAA1522,chr1,32601643,32634754,+,protein_coding,KIAA1522
1,FAM183A,chr1,43013445,43026887,+,protein_coding,FAM183A
2,LEXM,chr1,54686281,54722525,+,protein_coding,LEXM
3,FAM102B,chr1,108593088,108672314,+,protein_coding,FAM102B
4,PIFO,chr1,111339352,111367700,+,protein_coding,PIFO
5,C1orf68,chr1,151856064,151857012,+,protein_coding,C1orf68
6,C1orf112,chr1,169139615,169209809,+,protein_coding,C1orf112
7,H2BU1,chr1,227646615,227647070,+,protein_coding,H2BU1
8,C1orf100,chr1,243768961,243806036,+,protein_coding,C1orf100
9,OR14L1P,chr1,247053967,247059214,+,protein_coding,OR14L1P
10,C1orf109,chr1,37546290,37556969,-,protein_coding,C1orf109
11,HSPB11,chr1,53794486,53829213,-,protein_coding,HSPB11
12,GBA,chr1,154373009,154383185,-,protein_coding,GBA
13,FAM189B,chr1,154385763,154394041,-,protein_coding,FAM189B
14,H2AW,chr1,227645876,227646385,-,protein_coding,H2AW
15,C2orf50,chr2,11165528,11186977,+,protein_coding,C2orf50
16,FAM166C,chr2,26601745,26618672,+,protein_coding,FAM166C
17,C2orf16,chr2,27579747,27625808,+,protein_coding,C2orf16
18,C2orf73,chr2,54327057,54378389,+,protein_coding,C2orf73
19,TEX37,chr2,88536655,88541591,+,protein_coding,TEX37
20,CBWD2,chr2,113862219,113920733,+,protein_coding,CBWD2
21,TTC30B,chr2,178031273,178035071,-,protein_coding,TTC30B
22,TTC30A,chr2,178095311,178101054,-,protein_coding,TTC30A
23,FAM126B,chr2,201457164,201555113,-,protein_coding,FAM126B
24,MSL3P1,chr2,234354240,234357213,-,transcribed_pseudogene,MSL3P1
25,TDGF1,chr3,46590623,46598545,+,protein_coding,TDGF1
26,SMIM4,chr3,52569505,52574786,+,protein_coding,SMIM4
27,C3orf14,chr3,62362532,62379727,+,protein_coding,C3orf14
28,CSNKA2IP,chr3,88414407,88543775,+,protein_coding,CSNKA2IP
29,C3orf56,chr3,129925627,129930684,+,protein_coding,C3orf56
30,C3orf84,chr3,49205702,49219926,-,protein_coding,C3orf84
31,C4orf48,chr4,2035065,2042451,+,protein_coding,C4orf48
32,THEGL,chr4,60018614,60114234,+,protein_coding,THEGL
33,KIAA1109,chr4,125456397,125666898,+,protein_coding,KIAA1109
34,SPATA5,chr4,126227197,126623517,+,protein_coding,SPATA5
35,C4orf47,chr4,188751767,188793104,+,protein_coding,C4orf47
36,CCDC96,chr4,7012684,7014836,-,protein_coding,CCDC96
37,C4orf45,chr4,162243906,162433698,-,protein_coding,C4orf45
38,GK3P,chr4,168623800,168625697,-,protein_coding,GK3P
39,MRPS36,chr5,70040372,70055914,+,protein_coding,MRPS36
40,TEX43,chr5,127148570,127153149,+,protein_coding,TEX43
41,C5orf49,chr5,7769514,7790256,-,protein_coding,C5orf49
42,FAM172A,chr5,94101790,94595756,-,protein_coding,FAM172A
43,TTC37,chr5,95964834,96055916,-,protein_coding,TTC37
44,ZBED8,chr5,160921640,160928543,-,protein_coding,ZBED8
45,PRPF4B,chr6,3890936,3934285,+,protein_coding,PRPF4B
46,SKIV2L,chr6,31812380,31822956,+,protein_coding,SKIV2L
47,UHRF1BP1,chr6,34614874,34700320,+,protein_coding,UHRF1BP1
48,GUCA1ANB,chr6,41983624,41991617,+,protein_coding,GUCA1ANB
49,ZBED9,chr6,28441914,28487574,-,protein_coding,ZBED9
50,SOGA3,chr6,128661901,128708261,-,protein_coding,SOGA3
51,SPATA48,chr7,50257048,50320459,+,protein_coding,SPATA48
52,SSU72P8,chr7,125793889,125794473,+,pseudogene,SSU72P8
53,ATP6V1FNB,chr7,130179257,130184974,+,protein_coding,ATP6V1FNB
54,TTC26,chr7,140447060,140505276,+,protein_coding,TTC26
55,SAGSIN1,chr7,6448805,6468359,-,protein_coding,FAM220A
56,SAGSIN1,chr7,6448805,6468359,-,protein_coding,SAGSIN1
57,FAM126A,chr7,23032434,23150674,-,protein_coding,FAM126A
58,C7orf31,chr7,25261042,25315624,-,protein_coding,C7orf31
59,KIAA0895,chr7,36465400,36531625,-,protein_coding,KIAA0895
60,BMT2,chr7,114138029,114258806,-,protein_coding,BMT2
61,FAM90A13P,chr8,11745009,11750242,+,pseudogene,FAM90A13P
62,FAM90A12P,chr8,11767953,11773186,+,pseudogene,FAM90A12P_1
63,FAM90A12P,chr8,11775601,11780839,+,pseudogene,FAM90A12P_5
64,FAM90A12P,chr8,11836785,11842018,+,pseudogene,FAM90A12P_2
65,FAM90A12P,chr8,11859735,11864962,+,pseudogene,FAM90A12P_4
66,FAM90A12P,chr8,11875031,11880258,+,pseudogene,FAM90A12P_3
67,FAM90A24P,chr8,12392647,12397879,+,pseudogene,FAM90A24P_1
68,FAM90A24P,chr8,12400293,12405525,+,pseudogene,FAM90A24P
69,FAM90A12P,chr8,7313962,7319194,-,pseudogene,FAM90A12P_6
70,CYHR1,chr8,145619341,145632631,-,protein_coding,CYHR1
71,C9orf131,chr9,35060274,35065165,+,protein_coding,C9orf131
72,CBWD6,chr9,42089304,42163687,+,protein_coding,CBWD6
73,CBWD3,chr9,80406861,80473721,+,protein_coding,CBWD3
74,FAM189A2,chr9,81491223,81559059,+,protein_coding,FAM189A2
75,CBWD1,chr9,114953,173385,-,protein_coding,CBWD1
76,KIAA2026,chr9,5883999,6013620,-,protein_coding,KIAA2026
77,DDX58,chr9,32471227,32542369,-,protein_coding,DDX58
78,C9orf24,chr9,34397509,34416300,-,protein_coding,C9orf24
79,FAM205A,chr9,34742088,34748523,-,protein_coding,FAM205A
80,FAM205C,chr9,34908086,34914785,-,protein_coding,FAM205C
81,FAM214B,chr9,35123295,35135568,-,protein_coding,FAM214B
82,FAM166B,chr9,35582504,35584551,-,protein_coding,FAM166B
83,CBWD5,chr9,40658096,40739192,-,protein_coding,CBWD5
84,C9orf64,chr9,96088591,96107266,-,protein_coding,C9orf64
85,FAM102A,chr9,140148362,140188761,-,protein_coding,FAM102A
86,FAM166A,chr9,149481268,149492791,-,protein_coding,FAM166A
87,C10orf99,chr10,85052266,85063813,+,protein_coding,C10orf99
88,DUSP13,chr10,75967932,75982690,-,protein_coding,DUSP13
89,C10orf82,chr10,117556531,117564614,-,protein_coding,C10orf82
90,ODF3,chr11,237936,241436,+,protein_coding,ODF3
91,SSU72P5,chr11,4298327,4298921,+,pseudogene,SSU72P5
92,SSU72P3,chr11,4394951,4395536,+,pseudogene,SSU72P3
93,ARNTL,chr11,13369378,13480010,+,protein_coding,ARNTL
94,SPTY2D1OS,chr11,18697880,18707967,+,protein_coding,SPTY2D1OS
95,PPP1R32,chr11,61470007,61479841,+,protein_coding,PPP1R32
96,C11orf80,chr11,66740985,66839790,+,protein_coding,C11orf80
97,COLCA2,chr11,111308735,111318916,+,protein_coding,COLCA2
98,C11orf1,chr11,111889784,111896218,+,protein_coding,C11orf1
99,PDZD3,chr11,119205845,119210583,+,protein_coding,PDZD3
100,SSU72P2,chr11,4307114,4307708,-,pseudogene,SSU72P2
101,SSU72P4,chr11,4352573,4353167,-,pseudogene,SSU72P4
102,SSU72P7,chr11,4403747,4404331,-,pseudogene,SSU72P7
103,C11orf94,chr11,46062464,46063201,-,protein_coding,C11orf94
104,CCDC153,chr11,119210624,119216213,-,protein_coding,CCDC153
105,ARNTL2,chr12,27204471,27296954,+,protein_coding,ARNTL2
106,C12orf40,chr12,39576056,39858183,+,protein_coding,C12orf40
107,TEX49,chr12,48689465,48733487,+,protein_coding,TEX49
108,METTL7A,chr12,50888286,50895782,+,protein_coding,METTL7A
109,METTL7B,chr12,55648368,55651240,+,protein_coding,METTL7B
110,C12orf29,chr12,88017414,88032038,+,protein_coding,C12orf29
111,BTBD11,chr12,107282040,107623123,+,protein_coding,BTBD11
112,C12orf4,chr12,4494524,4545256,-,protein_coding,C12orf4
113,H4-16,chr12,14648070,14648481,-,protein_coding,H4-16
114,UHRF1BP1L,chr12,99998293,100104109,-,protein_coding,UHRF1BP1L
115,C12orf73,chr12,103911904,103927406,-,protein_coding,C12orf73
116,TMEM251,chr14,87416913,87420404,+,protein_coding,TMEM251
117,ADAL,chr15,41137658,41161894,+,protein_coding,ADAL
