,gene,chromosome,start,end,strand,biotype
0,PRAMEF28P,chr1,12546121,12548888,+,pseudogene
33,RGPD5,chr2,110936276,111033776,-,protein_coding
49,OR4F8BP,chr3,200993422,200995431,+,pseudogene
53,MUC20P1,chr3,198640238,198641629,-,pseudogene
58,UGT2B24P,chr4,72743649,72758409,+,pseudogene
69,GK6P,chr4,122697974,122700174,-,pseudogene
109,OR4F7P,chr6,172013162,172014100,+,pseudogene
123,TCAF2P1,chr7,145000036,145005436,+,transcribed_pseudogene
135,FAM90A4P,chr8,7001255,7006488,+,pseudogene
136,FAM90A14,chr8,7010561,7013572,+,protein_coding
137,FAM90A3P,chr8,7014711,7019944,+,pseudogene
138,FAM90A11P,chr8,7022333,7027564,+,pseudogene
140,FAM90A14,chr8,11708429,11711440,+,protein_coding
142,FAM90A14,chr8,11716077,11719088,+,protein_coding
144,FAM90A8,chr8,11723725,11726736,+,protein_coding
146,FAM90A17,chr8,11731373,11734384,+,protein_coding
148,FAM90A14,chr8,11739021,11742032,+,protein_coding
152,FAM90A14,chr8,11754317,11757328,+,protein_coding
154,FAM90A14,chr8,11761965,11764976,+,protein_coding
160,FAM90A24P,chr8,11783254,11788487,+,pseudogene
162,FAM90A15P,chr8,11790902,11796130,+,pseudogene
164,FAM90A14,chr8,11807853,11810864,+,protein_coding
166,FAM90A5P,chr8,11813840,11819074,+,pseudogene
168,FAM90A14,chr8,11823149,11826160,+,protein_coding
170,FAM90A14,chr8,11830797,11833808,+,protein_coding
173,FAM90A14,chr8,11846098,11849109,+,protein_coding
174,FAM90A24P,chr8,11852086,11857319,+,pseudogene
179,FAM90A24P,chr8,11867377,11872615,+,pseudogene
182,FAM90A16,chr8,11884337,11887348,+,protein_coding
184,FAM90A14,chr8,11891985,11894996,+,protein_coding
186,FAM90A14,chr8,11899633,11902644,+,protein_coding
188,FAM90A23,chr8,12386660,12389671,+,protein_coding
194,FAM90A23,chr8,12417244,12420255,+,protein_coding
196,FAM90A22,chr8,12424894,12427905,+,protein_coding
198,FAM90A23,chr8,12432540,12435551,+,protein_coding
200,FAM90A23,chr8,12447831,12450842,+,protein_coding
205,FAM90A16,chr8,7329820,7332831,-,protein_coding
207,FAM90A16,chr8,7337471,7340482,-,protein_coding
241,CNTNAP3C,chr9,39170904,39302008,-,protein_coding
256,DUSP13,chr10,75967931,75982690,-,protein_coding
261,SSU72P6,chr11,4343774,4344369,+,pseudogene
273,DEFB130C,chr11,71783188,71790566,+,pseudogene
278,OR4F2P,chr11,113127,114065,-,pseudogene
309,PRR20FP,chr13,56385953,56386133,+,pseudogene
311,OR4N1P,chr14,13995712,13996877,+,pseudogene
313,POTEM,chr14,13709372,13745718,-,protein_coding
319,GOLGA8R,chr15,28345230,28358930,+,protein_coding
327,OR4F28P,chr15,99642466,99643404,+,pseudogene
329,POTEB,chr15,18751949,18783424,-,protein_coding
339,POLG,chr15,87071146,87089647,-,protein_coding
343,EIF3C,chr16,28969278,29016311,+,protein_coding
357,KRTAP9-11P,chr17,42103768,42104475,+,pseudogene
372,TBC1D3P1,chr17,60876668,60887781,-,pseudogene
384,OR4F8P,chr19,107444,108379,-,pseudogene
416,FAM246C,chr22,19404890,19405586,+,protein_coding
417,TMEM191A,chr22,21109822,21113312,+,transcribed_pseudogene
418,RIMBP3B,chr22,21797296,21803024,+,protein_coding
427,GAGE12B,chrX,48762486,48912657,+,protein_coding
441,GK4P,chrX,100223064,100225252,-,pseudogene
444,CT47A12,chrX,119253164,119275928,-,protein_coding
449,CT45A5,chrX,134118785,134128440,-,protein_coding
450,RBMY1A1,chrY,22386599,22401038,+,protein_coding
