,seq_id,source,type,start,end,score,strand,phase,attributes,Dbxref,ID,Name,Note,Parent,copy_num_ID,coverage,description,end_range,exception,extra_copy_number,gbkey,gene,gene_biotype,gene_synonym,inference,inframe_stop_codon,matches_ref_protein,missing_start_codon,missing_stop_codon,partial,product,protein_id,sequence_ID,start_range,tag,transcript_id,transl_except,valid_ORF,valid_ORFs
134520,chr15,Liftoff,gene,26897354,27361792,.,-,.,"ID=gene-ENTREP2;Dbxref=GeneID:23359,HGNC:HGNC:29075,MIM:620052;Name=ENTREP2;description=endosomal transmembrane epsin interactor 2;gbkey=Gene;gene=ENTREP2;gene_biotype=protein_coding;gene_synonym=FAM189A1,TMEM228;coverage=1.0;sequence_ID=0.995;valid_ORFs=1;extra_copy_number=0;copy_num_ID=gene-ENTREP2_0","GeneID:23359,HGNC:HGNC:29075,MIM:620052",gene-ENTREP2,ENTREP2,,,gene-ENTREP2_0,1.0,endosomal transmembrane epsin interactor 2,,,0,Gene,ENTREP2,protein_coding,"FAM189A1,TMEM228",,,,,,,,,0.995,,,,,,1
134521,chr15,Liftoff,mRNA,26897354,27361792,.,-,.,"ID=rna-NM_015307.2;Parent=gene-ENTREP2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;Name=NM_015307.2;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;matches_ref_protein=False;valid_ORF=True;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",rna-NM_015307.2,NM_015307.2,,gene-ENTREP2,,,,,,0,mRNA,ENTREP2,,,,,False,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,True,
134522,chr15,Liftoff,exon,26897354,26900757,.,-,.,"ID=exon-NM_015307.2-11;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-11,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134523,chr15,Liftoff,exon,26901789,26901863,.,-,.,"ID=exon-NM_015307.2-10;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-10,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134524,chr15,Liftoff,exon,26903369,26903593,.,-,.,"ID=exon-NM_015307.2-9;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-9,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134525,chr15,Liftoff,exon,26905891,26905966,.,-,.,"ID=exon-NM_015307.2-8;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-8,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134526,chr15,Liftoff,exon,26914753,26914888,.,-,.,"ID=exon-NM_015307.2-7;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-7,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134527,chr15,Liftoff,exon,26915421,26915581,.,-,.,"ID=exon-NM_015307.2-6;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-6,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134528,chr15,Liftoff,exon,26930121,26930228,.,-,.,"ID=exon-NM_015307.2-5;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-5,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
134529,chr15,Liftoff,exon,26974810,26974944,.,-,.,"ID=exon-NM_015307.2-4;Parent=rna-NM_015307.2;Dbxref=Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052;gbkey=mRNA;gene=ENTREP2;product=endosomal transmembrane epsin interactor 2%2C transcript variant 1;tag=MANE Select;transcript_id=NM_015307.2;extra_copy_number=0","Ensembl:ENST00000261275.5,GeneID:23359,GenBank:NM_015307.2,HGNC:HGNC:29075,MIM:620052",exon-NM_015307.2-4,,,rna-NM_015307.2,,,,,,0,mRNA,ENTREP2,,,,,,,,,endosomal transmembrane epsin interactor 2%2C transcript variant 1,,,,MANE Select,NM_015307.2,,,
