,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,overlap,overlap_percentage_add,overlap_percentage_remove
44,chr3,UQCC5,52569504,52574786,+,protein_coding,LOC124909379,52567714,52619364,+,lncRNA,5282,1.0,0.1022652468538238
218,chr9,ZNG1C,80416504,80473721,+,protein_coding,LOC124902173,80459729,80466105,+,lncRNA,6376,0.1114354125522135,1.0
222,chr9,ZNG1A,114952,173385,-,protein_coding,LOC105375942,122722,129299,-,lncRNA,6577,0.1125562610168911,1.0
239,chr9,CNTNAP3,39078096,39301584,-,protein_coding,LOC101930090,39113306,39163376,-,pseudogene,50070,0.2240388745704467,1.0
334,chr15,ENTREP2,26897353,27361792,-,protein_coding,LOC100420707,27012051,27013520,-,pseudogene,1469,0.0031629557379978,1.0
403,chr21,TRAPPC10,42367932,42462167,+,protein_coding,LOC102724200,42452201,42461892,+,protein_coding,9691,0.1028386480606993,1.0
409,chr21,KCNE1,32829244,32894776,-,protein_coding,LOC124900475,32838669,32838797,-,snoRNA,128,0.0019532442165659,1.0
410,chr21,KCNE1,32829244,32894776,-,protein_coding,LOC105379505,32866579,32869585,-,lncRNA,3006,0.045870719648416,1.0
111,chr21,PWP2,42463008,42486796,+,protein_coding,LOC102724159,42463008,42486796,+,protein_coding,23788,1.0,1.0
112,chr21,GATD3,42489297,42501326,+,protein_coding,LOC102724023,42489297,42501326,+,protein_coding,12029,1.0,1.0
113,chr21,U2AF1,41484015,41498641,-,protein_coding,LOC102724594,41484015,41498641,-,protein_coding,14626,1.0,1.0


