,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,overlap,overlap_percentage_add,overlap_percentage_remove,ID_remove,ID_add,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE
0,chr4,SPMAP2L,60018614,60091522,+,protein_coding,GLDCP1,60080459,60084280,+,pseudogene,3822,0.0524215117475208,1.0,GLDCP1,SPMAP2L,False,465,0,False
1,chr4,AFG2A,126227197,126623517,+,protein_coding,COILP2,126327741,126330096,+,pseudogene,2356,0.0059446761589721,1.0,COILP2,AFG2A,False,893,0,False
2,chr5,ARB2A,94101790,94595720,-,protein_coding,MIR2277,94104761,94104853,-,miRNA,93,0.0001882854082857,1.0,MIR2277,ARB2A,False,416,0,False
3,chr5,ARB2A,94101790,94595720,-,protein_coding,NPM1P27,94166588,94167802,-,pseudogene,1215,0.0024598577534109,1.0,NPM1P27,ARB2A,False,416,0,False
4,chr5,ARB2A,94101790,94595720,-,protein_coding,POU5F2,94217284,94225664,-,protein_coding,8381,0.0169679570628286,1.0,POU5F2,ARB2A,True,416,328,True
5,chr9,ZNG1C,80061576,80119701,-,protein_coding,CBWD4P,80061395,80095397,-,pseudogene,33822,0.5818738602346626,0.9946769402699762,CBWD4P,ZNG1C,False,395,0,False
6,chr10,MSANTD7,14852271,14860964,+,protein_coding,HSPA14,14852271,14885706,+,protein_coding,8694,1.0,0.2600191410455796,HSPA14,MSANTD7,True,361,509,True
7,chr11,BMAL1,13370517,13480010,+,protein_coding,RN7SKP151,13445972,13446287,+,pseudogene,316,0.0028860028860028,1.0,RN7SKP151,BMAL1,False,626,0,False
8,chr11,TOP6BL,66741018,66839790,+,protein_coding,RCE1,66839715,66842826,+,protein_coding,76,0.0007694410415801,0.0244215938303341,RCE1,TOP6BL,True,511,329,True
9,chr11,DRC12,119210624,119216213,-,protein_coding,SNORD150,119210937,119211011,-,snoRNA,75,0.0134168157423971,1.0,SNORD150,DRC12,False,210,0,False
10,chr12,BMAL2,27204471,27296954,+,protein_coding,SMCO2,27294986,27373856,+,protein_coding,1969,0.0212901691103326,0.0249648159653104,SMCO2,BMAL2,True,636,343,True
11,chr12,TMT1A,50888286,50895782,+,protein_coding,HIGD1C,50894384,50935936,+,protein_coding,1399,0.1866079765239429,0.0336678458835703,HIGD1C,TMT1A,True,244,158,True
12,chr14,POTEG,13713835,13745718,-,protein_coding,ACTBP10,13712538,13714265,-,pseudogene,431,0.0135177518504579,0.2494212962962963,ACTBP10_1,POTEG,False,545,0,False
13,chr14,POTEG,13713835,13745718,-,protein_coding,RNU6-1239P,13734167,13734273,-,pseudogene,107,0.003355915192573,1.0,RNU6-1239P,POTEG,False,545,0,False
14,chr15,GOLGA8Q,28345301,28358930,+,protein_coding,RN7SL196P,28353895,28354185,+,pseudogene,291,0.0213499633162142,1.0,RN7SL196P,GOLGA8Q,False,631,0,False
15,chr15,POTEB3,18748387,18783424,-,protein_coding,RNU6-631P,18771805,18771911,-,pseudogene,107,0.0030538272732461,1.0,RNU6-631P,POTEB3,False,581,0,False
16,chr15,ENTREP2,26897354,27361792,-,protein_coding,NSMCE3,27043359,27048192,-,protein_coding,4834,0.0104082559819481,1.0,NSMCE3,ENTREP2,True,539,304,True
17,chr16,NPIPA6,16340281,16359022,+,protein_coding,PKD1P1,16315687,16359022,+,transcribed_pseudogene,18742,1.0,0.4324810780875023,PKD1P1,NPIPA6,False,369,0,False
18,chr16,EIF3CL,28992128,29016177,+,protein_coding,MIR6862-2,29004923,29004992,+,miRNA,70,0.0029106029106029,1.0,MIR6862-2,EIF3CL,False,913,0,False
