,chromosome,gene_add,start_add,end_add,strand_add,biotype_add,gene_remove,start_remove,end_remove,strand_remove,biotype_remove,ID_remove,ID_add,overlap,overlap_percentage_add,overlap_percentage_remove,synonym,overlapping_in_MANE,gene_add_protein_length,gene_remove_protein_length,gene_remove_in_MANE,action
0,chr1,NHSL3,32601643,32634754,+,protein_coding,KIAA1522,32601643,32634754,+,protein_coding,KIAA1522,NHSL3,33111,1.0,1.0,True,False,1094,1094,False,RENAME KIAA1522 to NHSL3
1,chr1,CFAP144,43018394,43026887,+,protein_coding,FAM183A,43013445,43026887,+,protein_coding,FAM183A,CFAP144,8493,1.0,0.6318256211873233,True,False,134,150,False,RENAME FAM183A to CFAP144
2,chr1,CIMAP2,54686281,54722525,+,protein_coding,LEXM,54686281,54722525,+,protein_coding,LEXM,CIMAP2,36244,1.0,1.0,True,False,418,435,False,RENAME LEXM to CIMAP2
3,chr1,EEIG2,108593088,108672314,+,protein_coding,FAM102B,108593088,108672314,+,protein_coding,FAM102B,EEIG2,79226,1.0,1.0,True,False,360,360,False,RENAME FAM102B to EEIG2
4,chr1,CIMAP3,111361308,111367696,+,protein_coding,PIFO,111339352,111367700,+,protein_coding,PIFO,CIMAP3,6388,1.0,0.2253421758148723,True,False,191,241,False,RENAME PIFO to CIMAP3
5,chr1,KPLCE,151856064,151857012,+,protein_coding,C1orf68,151856064,151857012,+,protein_coding,C1orf68,KPLCE,948,1.0,1.0,True,False,250,250,False,RENAME C1orf68 to KPLCE
6,chr1,FIRRM,169150819,169209809,+,protein_coding,C1orf112,169139615,169209809,+,protein_coding,C1orf112,FIRRM,58990,1.0,0.8403852181098099,True,False,853,911,False,RENAME C1orf112 to FIRRM
7,chr1,H2BC26,227646615,227647070,+,protein_coding,H2BU1,227646615,227647070,+,protein_coding,H2BU1,H2BC26,455,1.0,1.0,True,False,126,126,False,RENAME H2BU1 to H2BC26
8,chr1,SPMIP3,243768961,243806036,+,protein_coding,C1orf100,243768961,243806036,+,protein_coding,C1orf100,SPMIP3,37075,1.0,1.0,True,False,147,169,False,RENAME C1orf100 to SPMIP3
9,chr1,OR14L1,247053967,247059214,+,protein_coding,OR14L1P,247053967,247059214,+,protein_coding,OR14L1P,OR14L1,5247,1.0,1.0,True,False,325,325,False,RENAME OR14L1P to OR14L1
10,chr1,AIRIM,37546290,37555256,-,protein_coding,C1orf109,37546290,37556969,-,protein_coding,C1orf109,AIRIM,8966,1.0,0.839591722071355,True,False,203,281,False,RENAME C1orf109 to AIRIM
11,chr1,IFT25,53804471,53828607,-,protein_coding,HSPB11,53794486,53829213,-,protein_coding,HSPB11,IFT25,24136,1.0,0.695021165087684,True,False,144,214,False,RENAME HSPB11 to IFT25
12,chr1,GBA1,154373009,154379807,-,protein_coding,GBA,154373009,154383185,-,protein_coding,GBA,GBA1,6798,1.0,0.6680424528301887,True,False,536,536,False,RENAME GBA to GBA1
13,chr1,ENTREP3,154385763,154394041,-,protein_coding,FAM189B,154385763,154394041,-,protein_coding,FAM189B,ENTREP3,8278,1.0,1.0,True,False,668,669,False,RENAME FAM189B to ENTREP3
14,chr1,H2AC25,227645876,227646385,-,protein_coding,H2AW,227645876,227646385,-,protein_coding,H2AW,H2AC25,509,1.0,1.0,True,False,130,130,False,RENAME H2AW to H2AC25
15,chr2,CIMIP5,11165528,11183718,+,protein_coding,C2orf50,11165528,11186977,+,protein_coding,C2orf50,CIMIP5,18190,1.0,0.8480581845307473,True,False,162,162,False,RENAME C2orf50 to CIMIP5
16,chr2,CIMIP2C,26601745,26618672,+,protein_coding,FAM166C,26601745,26618672,+,protein_coding,FAM166C,CIMIP2C,16927,1.0,1.0,True,False,201,235,False,RENAME FAM166C to CIMIP2C
17,chr2,SPATA31H1,27579747,27625808,+,protein_coding,C2orf16,27579747,27625808,+,protein_coding,C2orf16,SPATA31H1,46061,1.0,1.0,True,False,5388,5388,False,RENAME C2orf16 to SPATA31H1
18,chr2,CIMIP6,54327057,54355776,+,protein_coding,C2orf73,54327057,54378389,+,protein_coding,C2orf73,CIMIP6,28719,1.0,0.5594755707940466,True,False,287,345,False,RENAME C2orf73 to CIMIP6
19,chr2,SPMIP9,88536655,88541591,+,protein_coding,TEX37,88536655,88541591,+,protein_coding,TEX37,SPMIP9,4936,1.0,1.0,True,False,180,180,False,RENAME TEX37 to SPMIP9
